Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K)[1],Discovery method,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks
Kepler-658b,,0.145,1.28707676,,,transit,1110,0.63,4103,[56]
Kepler-659b,,0.223,17.671796,,,transit,2240,0.79,4870,[56]
Kepler-660b,,0.229,9.27358194,,,transit,1840,0.75,4779,[56]
Kepler-661b,,0.274,6.02930132,,,transit,1820,0.7,4483,[56]
Kepler-662b,,0.194,21.67697486,,,transit,2090,0.79,4897,[56]
Kepler-663b,,0.232,4.99678284,,,transit,3400,0.86,5264,[56]
Kepler-664b,,0.237,2.52559332,,,transit,4520,1.01,5754,[56]
Kepler-665b,,0.232,16.01310205,,,transit,2120,0.79,4913,[56]
Kepler-666b,,0.214,4.49876092,,,transit,4300,1.03,5887,[56]
Kepler-667b,,0.422,41.43962808,,,transit,2960,0.91,5327,[56]
Kepler-668b,,0.241,8.35390639,,,transit,2860,0.87,5352,[56]
Kepler-669b,,0.431,4.12554687,,,transit,5800,1.15,6038,[56]
Kepler-670b,,1.176,2.81650485,,,transit,3200,0.99,5709,[56]
Kepler-671b,,0.24,4.28095859,,,transit,3710,0.97,5624,[56]
Kepler-672b,,0.223,38.3774623,,,transit,3300,0.95,5627,[56]
Kepler-673b,,0.583,3.72873109,,,transit,3190,0.88,5355,[56]
Kepler-674b,,0.151,2.24338185,,,transit,980,0.6,4192,[56]
Kepler-675b,,0.218,2.33743801,,,transit,2120,0.79,4945,[56]
Kepler-676b,,0.271,11.59822172,,,transit,790,0.51,3701,[56]
Kepler-677b,,0.48,6.57531678,,,transit,3800,1,5723,[56]
Kepler-678b,,0.459,7.27503724,,,transit,2850,0.94,5520,[56]
Kepler-679b,,0.269,12.39358604,,,transit,3160,0.87,5403,[56]
Kepler-680b,,0.216,3.68992629,,,transit,4380,1.08,5890,[56]
Kepler-681b,,0.275,26.39435646,,,transit,2170,0.8,5021,[56]
