Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K)[1],Discovery method,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks
Kepler-902b,,0.227,40.1099547,,,transit,2950,0.95,5647,[56]
Kepler-903b,,0.179,10.3507721,,,transit,2700,0.98,5682,[56]
Kepler-903c,,0.226,62.9228557,,,transit,2700,0.98,5682,[56]
Kepler-904b,,0.158,3.02166863,,,transit,3750,1.16,6160,[56]
Kepler-905b,,0.126,5.08274652,,,transit,1700,0.95,5461,[56]
Kepler-906b,,0.188,41.6979976,,,transit,2470,1.06,6035,[56]
Kepler-907b,,0.107,15.86621821,,,transit,1150,1.08,6106,[56]
Kepler-908b,,0.109,1.34059747,,,transit,820,1.11,5973,[56]
Kepler-909b,,0.131,13.93290318,,,transit,1040,1.17,6154,[56]
Kepler-910b,,0.073,2.36436901,,,transit,1310,1.26,6230,[56]
Kepler-911b,,0.232,20.310501,,,transit,1850,1.34,6112,[56]
Kepler-912b,,0.25,2.53475627,,,transit,4130,1.07,5998,[56]
Kepler-913b,,0.184,10.29672521,,,transit,1950,0.63,4687,[56]
Kepler-914b,,0.123,4.40966548,,,transit,2210,1.1,5877,[56]
Kepler-915b,,0.134,4.59489604,,,transit,2630,1.21,6173,[56]
Kepler-916b,,0.157,32.2968798,,,transit,2510,0.85,5248,[56]
Kepler-917b,,0.17,2.97041437,,,transit,3350,0.8,5418,[56]
Kepler-918b,,0.155,4.85386933,,,transit,4060,1.11,6028,[56]
Kepler-919b,,0.201,11.04603384,,,transit,3980,1.15,6113,[56]
Kepler-920b,,0.216,6.53192704,,,transit,3020,0.89,5403,[56]
Kepler-920c,,0.339,100.8274113,,,transit,3020,0.89,5403,[56]
Kepler-921b,,0.256,51.300634,,,transit,2760,0.93,5663,[56]
Kepler-922b,,0.127,0.93846683,,,transit,1820,0.95,5671,[56]
Kepler-923b,,0.123,6.93366476,,,transit,3150,1.11,5988,[56]
Kepler-924b,,0.274,61.0370117,,,transit,3250,1.14,6167,[56]
Kepler-925b,,0.209,33.8678531,,,transit,2030,0.77,4673,[56]
Kepler-926b,,0.206,52.0688601,,,transit,2510,1.01,5806,[56]
Kepler-927b,,0.153,9.1149903,,,transit,2870,0.99,5743,[56]
Kepler-928b,,0.142,3.9324613,,,transit,1740,0.73,4700,[56]
Kepler-929b,,0.099,0.92103214,,,transit,2700,1.01,5869,[56]
Kepler-930b,,0.19,71.4517775,,,transit,2950,1.25,6335,[56]
Kepler-931b,,0.119,8.03755877,,,transit,1600,0.86,5241,[56]
Kepler-932b,,0.122,1.9214374,,,transit,1560,0.87,5331,[56]
Kepler-933b,,0.219,14.20443009,,,transit,3010,0.87,5346,[56]
Kepler-934b,,0.186,55.6738309,,,transit,1970,0.81,5001,[56]
Kepler-935b,,0.12,4.88083852,,,transit,1570,0.78,4830,[56]
Kepler-936b,,0.129,10.56134221,,,transit,2240,0.92,5482,[56]
Kepler-937b,,0.332,67.668827,,,transit,4830,1.15,6095,[56]
Kepler-937c,,0.238,153.343364,,,transit,4830,1.15,6095,[56]
Kepler-938b,,0.198,52.6298417,,,transit,2810,0.92,5533,[56]
Kepler-939b,,0.156,14.878296,,,transit,3360,0.88,5471,[56]
Kepler-940b,,0.298,59.6225257,,,transit,4300,0.97,5769,[56]
Kepler-941b,,0.275,17.42395198,,,transit,3600,0.89,5539,[56]
Kepler-942b,,0.19,44.96417488,,,transit,710,0.81,4861,[56]
Kepler-943b,,0.529,49.7701438,,,transit,4040,0.93,5612,[56]
Kepler-944b,,0.235,43.3167737,,,transit,3380,0.86,5409,[56]
Kepler-945b,,0.235,31.0033814,,,transit,5030,0.97,5718,[56]
Kepler-946b,,0.172,11.79162572,,,transit,2990,0.94,5665,[56]
Kepler-947b,,0.203,26.9644317,,,transit,3870,0.9,5508,[56]
Kepler-948b,,0.165,7.76846622,,,transit,2880,0.96,5679,[56]
Kepler-949b,,0.26,8.6893073,,,transit,1870,0.89,5403,[56]
Kepler-950b,,0.801,98.7180406,,,transit,4860,1.02,5857,[56]
Kepler-951b,,0.499,71.52530845,,,transit,1330,0.77,4834,[56]
Kepler-952b,,0.682,130.3546919,,,transit,3810,1,5730,[56]
Kepler-953b,,0.376,88.40655258,,,transit,780,0.95,5416,[56]
Kepler-953c,,0.106,9.10967112,,,transit,780,0.95,5416,[56]
Kepler-954b,,0.207,16.78176602,,,transit,730,0.82,4990,[56]
Kepler-955b,,0.279,14.53244172,,,transit,2080,0.89,5350,[56]
Kepler-956b,,0.268,5.24867263,,,transit,2060,1.1,6040,[56]
Kepler-957b,,0.491,5.90741354,,,transit,2440,0.81,4963,[56]
Kepler-958b,,0.184,9.7678805,,,transit,1520,0.91,5421,[56]
Kepler-959b,,0.391,14.80074836,,,transit,3270,1.6,7005,[56]
Kepler-960b,,0.204,3.12686223,,,transit,970,0.77,4755,[56]
Kepler-961b,,0.227,16.87727414,,,transit,1980,0.96,5582,[56]
Kepler-962b,,0.176,12.05707239,,,transit,1430,0.93,5478,[56]
Kepler-963b,,0.237,9.97683705,,,transit,2560,0.91,5461,[56]
Kepler-964b,,0.189,13.5225106,,,transit,1560,0.93,5427,[56]
Kepler-965b,,0.302,134.2527298,,,transit,2020,1.05,5886,[56]
Kepler-966b,,0.368,99.747622,,,transit,2520,1.02,5840,[56]
Kepler-967b,,0.21,13.22713379,,,transit,1630,0.84,5178,[56]
Kepler-967c,,0.326,198.7112502,,,transit,1630,0.84,5178,[56]
Kepler-968b,,0.178,3.69298373,,,transit,1020,0.76,4598,[56]
Kepler-968c,,0.151,5.70940492,,,transit,1020,0.76,4598,[56]
Kepler-969b,,0.185,34.1731714,,,transit,1340,0.92,5214,[56]
Kepler-969c,,0.088,1.6829346,,,transit,1340,0.92,5214,[56]
Kepler-970b,,0.247,16.73652231,,,transit,1100,0.7,4511,[56]
Kepler-971b,,0.19,9.59070716,,,transit,1130,0.88,5431,[56]
Kepler-972b,,0.415,7.03932553,,,transit,4250,1.15,6146,[56]
Kepler-973b,,0.175,49.6077331,,,transit,970,0.86,5213,[56]
Kepler-974b,,0.14,4.19449651,,,transit,390,0.52,3687,[56]
Kepler-975b,,0.132,1.97034246,,,transit,1320,0.8,4897,[56]
Kepler-976b,,0.353,105.9564148,,,transit,3300,0.87,5232,[56]
Kepler-977b,,0.234,26.85328322,,,transit,2170,0.87,5315,[56]
Kepler-978b,,0.267,49.6221509,,,transit,2040,1.07,6002,[56]
Kepler-979b,,0.243,8.0880135,,,transit,1980,0.87,5310,[56]
Kepler-980b,,0.238,11.55102504,,,transit,2620,1.05,5935,[56]
Kepler-981b,,0.206,4.46975774,,,transit,2980,0.98,5718,[56]
Kepler-982b,,0.201,15.7738221,,,transit,2290,1.16,6139,[56]
Kepler-983b,,0.211,60.0855082,,,transit,2140,1.13,6052,[56]
Kepler-984b,,0.189,43.0342272,,,transit,1500,0.96,5610,[56]
Kepler-985b,,0.266,116.331901,,,transit,2420,0.91,5434,[56]
Kepler-986b,,0.211,56.4349938,,,transit,1840,0.96,5642,[56]
Kepler-987b,,0.291,105.3033148,,,transit,3050,0.97,5637,[56]
Kepler-988b,,0.185,17.76080053,,,transit,810,0.55,4005,[56]
Kepler-989b,,0.197,7.96431535,,,transit,1580,0.82,5074,[56]
Kepler-990b,,0.232,9.91723428,,,transit,3040,1.05,5948,[56]
Kepler-990c,,0.136,0.53835431,,,transit,3040,1.05,5948,[56]
Kepler-991b,,0.227,82.5342519,,,transit,1200,0.64,4392,[56]
Kepler-992b,,0.145,20.16034462,,,transit,870,0.8,4944,[56]
Kepler-993b,,0.265,22.08557563,,,transit,970,0.57,3843,[56]
Kepler-994b,,0.143,1.15116651,,,transit,550,0.56,3934,[56]
Kepler-995b,,0.241,28.26731672,,,transit,2150,0.83,5206,[56]
Kepler-996b,,0.177,3.77059058,,,transit,3580,1.09,6014,[56]
Kepler-997b,,0.121,2.70730672,,,transit,1500,1.22,6150,[56]
Kepler-998b,,0.207,5.65377733,,,transit,3250,1.12,6058,[56]
Kepler-999b,,0.209,5.99185702,,,transit,1850,1.29,6237,[56]
Kepler-1000b,,0.425,120.0181272,,,transit,3020,1.4,6453,[56]
Kepler-1001b,,0.281,14.30511983,,,transit,3290,0.9,5491,[56]
Kepler-1002b,,0.153,4.33642933,,,transit,1390,1.22,6144,[56]
Kepler-1003b,,0.159,3.55485691,,,transit,2850,1.11,6109,[56]
Kepler-1004b,,0.56,5.28789787,,,transit,3500,1.11,4972,[56]
Kepler-1005b,,0.134,6.49801525,,,transit,1680,1,5782,[56]
Kepler-1006b,,0.137,19.76172042,,,transit,1620,0.78,5328,[56]
Kepler-1007b,,0.128,5.18500207,,,transit,1190,0.73,4587,[56]
Kepler-1008b,,0.114,12.43931193,,,transit,980,0.81,5066,[56]
Kepler-1009b,,0.194,11.35011917,,,transit,920,0.59,4027,[56]
Kepler-1010b,,0.207,34.2685705,,,transit,2000,0.86,5253,[56]
Kepler-1011b,,0.256,5.75322197,,,transit,2800,0.91,5416,[56]
Kepler-1012b,,0.115,5.50860439,,,transit,1400,0.95,5556,[56]
Kepler-1013b,,0.192,18.93054959,,,transit,1410,0.81,4954,[56]
Kepler-1014b,,0.213,16.57110363,,,transit,2190,0.88,5388,[56]
Kepler-1015b,,0.317,16.00494214,,,transit,3040,1.49,6769,[56]
Kepler-1016b,,0.194,1.95452434,,,transit,4040,0.99,5821,[56]
Kepler-1016c,,0.328,105.6551369,,,transit,4040,0.99,5821,[56]
Kepler-1017b,,0.178,7.23400469,,,transit,1810,0.93,5473,[56]
Kepler-1018b,,0.23,49.1013514,,,transit,2920,0.91,5518,[56]
Kepler-1019b,,0.13,1.41122985,,,transit,650,0.7,4433,[56]
Kepler-1020b,,0.203,96.9151496,,,transit,1450,0.87,5227,[56]
Kepler-1021b,,0.208,13.47469571,,,transit,2730,0.89,5431,[56]
Kepler-1022b,,0.211,10.99469878,,,transit,1480,0.71,4445,[56]
Kepler-1023b,,0.235,62.1387714,,,transit,2240,0.93,5494,[56]
Kepler-1024b,,0.349,66.4162133,,,transit,3320,0.81,5143,[56]
Kepler-1025b,,0.177,37.3229493,,,transit,2340,1.09,6089,[56]
Kepler-1026b,,0.197,36.5156053,,,transit,1270,0.79,4948,[56]
Kepler-1027b,,0.079,1.9078052,,,transit,950,0.91,5436,[56]
Kepler-1028b,,0.119,2.51462432,,,transit,2060,0.9,5522,[56]
Kepler-1029b,,0.112,4.41769648,,,transit,1380,0.82,5030,[56]
Kepler-1030b,,0.221,19.32952416,,,transit,2590,0.8,4983,[56]
Kepler-1031b,,0.078,1.22621732,,,transit,2420,1.09,6011,[56]
Kepler-1032b,,0.167,3.29011795,,,transit,1980,0.77,4647,[56]
Kepler-1033b,,0.224,7.56052806,,,transit,4650,0.94,5547,[56]
Kepler-1034b,,0.202,12.12400943,,,transit,2300,0.83,5198,[56]
Kepler-1035b,,0.104,2.71407755,,,transit,1330,0.98,5763,[56]
Kepler-1036b,,0.269,122.8808058,,,transit,1650,0.95,5533,[56]
Kepler-1037b,,0.114,1.06378867,,,transit,1470,0.82,5105,[56]
Kepler-1038b,,0.315,148.4603382,,,transit,2030,0.87,5335,[56]
Kepler-1039b,,0.13,0.93488424,,,transit,1060,0.79,4870,[56]
Kepler-1040b,,0.186,201.1214,,,transit,1540,0.98,5694,[56]
Kepler-1041b,,0.262,24.7576421,,,transit,3190,1.06,5957,[56]
Kepler-1042b,,0.195,10.13202575,,,transit,2150,0.75,4815,[56]
Kepler-1043b,,0.227,38.5053398,,,transit,2730,0.92,5629,[56]
Kepler-1044b,,0.238,6.77408868,,,transit,4920,1.08,5985,[56]
Kepler-1045b,,0.24,26.41045478,,,transit,3170,0.86,5301,[56]
Kepler-1046b,,0.153,14.37508035,,,transit,1690,1.04,5913,[56]
Kepler-1047b,,0.186,56.1886887,,,transit,1850,1.08,5754,[56]
Kepler-1047c,,0.088,3.18897601,,,transit,1850,1.08,5754,[56]
Kepler-1048b,,0.144,6.92101021,,,transit,1350,0.75,4651,[56]
Kepler-1049b,,0.085,3.27346074,,,transit,420,0.51,3864,[56]
Kepler-1050b,,0.143,15.3787546,,,transit,1810,1.09,6010,[56]
Kepler-1050c,,0.132,21.1284569,,,transit,1810,1.09,6010,[56]
Kepler-1051b,,0.303,25.96200249,,,transit,3330,1.43,6675,[56]
Kepler-1052b,,0.261,34.8538276,,,transit,3430,1.03,5888,[56]
Kepler-1053b,,0.087,2.41435165,,,transit,560,0.74,4529,[56]
Kepler-1054b,,0.235,4.30655689,,,transit,3400,1.22,6209,[56]
Kepler-1055b,,0.11,2.29503623,,,transit,1380,0.98,5723,[56]
Kepler-1056b,,0.269,27.495606,,,transit,3170,1.12,6127,[56]
Kepler-1057b,,0.3,14.08827448,,,transit,4770,1.07,5987,[56]
Kepler-1058b,,0.243,110.96546,,,transit,1710,0.73,4644,[56]
Kepler-1059b,,0.154,3.76419105,,,transit,2200,0.75,4906,[56]
Kepler-1060b,,0.212,46.8779367,,,transit,2810,0.99,5797,[56]
Kepler-1061b,,0.177,2.75798267,,,transit,1910,1.09,6067,[56]
Kepler-1062b,,0.157,9.30412078,,,transit,1270,0.75,4597,[56]
Kepler-1063b,,0.133,14.07971466,,,transit,1190,1.09,5945,[56]
Kepler-1064b,,0.138,16.54080322,,,transit,1220,0.85,5153,[56]
Kepler-1065b,,0.333,3.60930891,,,transit,3520,0.94,5635,[56]
Kepler-1065c,,0.143,2.37030743,,,transit,3520,0.94,5635,[56]
Kepler-1066b,,0.211,1.93155984,,,transit,1300,0.98,5762,[56]
Kepler-1067b,,0.071,0.76212926,,,transit,2250,0.95,5592,[56]
Kepler-1068b,,0.324,16.92344113,,,transit,5000,1.01,5806,[56]
Kepler-1069b,,0.143,23.8990296,,,transit,1420,0.99,5722,[56]
Kepler-1070b,,0.154,6.2216147,,,transit,3400,1.21,6261,[56]
Kepler-1071b,,0.212,6.1799844,,,transit,3140,0.86,5215,[56]
Kepler-1072b,,0.141,1.5690665,,,transit,3180,1.2,6199,[56]
Kepler-1073b,,0.205,8.67888593,,,transit,2730,1,5792,[56]
Kepler-1073c,,0.146,4.02582254,,,transit,2730,1,5792,[56]
Kepler-1074b,,0.112,5.94566534,,,transit,800,0.6,4002,[56]
Kepler-1075b,,0.127,1.52372816,,,transit,860,0.56,3959,[56]
Kepler-1076b,,0.071,6.14727918,,,transit,650,0.79,4868,[56]
Kepler-1077b,,0.247,34.3511874,,,transit,3580,1.02,5816,[56]
Kepler-1078b,,0.17,3.00725242,,,transit,3960,0.94,5612,[56]
Kepler-1079b,,0.145,13.24503188,,,transit,1570,1.08,5758,[56]
Kepler-1080b,,0.293,77.2548396,,,transit,2240,1.1,5956,[56]
Kepler-1081b,,0.09,3.85691855,,,transit,1390,0.88,5345,[56]
Kepler-1082b,,0.1,1.5432066,,,transit,2050,1.03,5923,[56]
Kepler-1083b,,0.3,33.4177993,,,transit,2970,0.81,5049,[56]
Kepler-1084b,,0.099,2.05333679,,,transit,1390,1.12,6113,[56]
Kepler-1085b,,0.644,219.3217528,,,transit,4950,1.11,6000,[56]
Kepler-1086b,,0.218,18.78425728,,,transit,1510,0.7,4350,[56]
Kepler-1086c,,0.262,161.5163345,,,transit,1510,0.7,4350,[56]
Kepler-1087b,,0.054,0.69384285,,,transit,1150,0.96,5589,[56]
Kepler-1088b,,0.127,23.12748644,,,transit,980,1.08,5975,[56]
Kepler-1089b,,0.163,5.13248562,,,transit,740,0.52,3753,[56]
Kepler-1090b,,0.201,198.680179,,,transit,2290,0.86,5321,[56]
Kepler-1091b,,0.13,1.43474156,,,transit,2980,1.01,5851,[56]
Kepler-1092b,,0.185,58.6017925,,,transit,2980,0.99,5862,[56]
Kepler-1093b,,0.174,25.0824626,,,transit,2770,1.13,6166,[56]
Kepler-1093c,,0.175,89.722292,,,transit,2770,1.13,6166,[56]
Kepler-1094b,,0.284,78.1000231,,,transit,4470,1.14,6112,[56]
Kepler-1095b,,0.108,4.27103091,,,transit,2470,0.94,5658,[56]
Kepler-1096b,,0.111,2.89221751,,,transit,1120,0.66,4306,[56]
Kepler-1097b,,0.291,187.747029,,,transit,2410,0.82,5211,[56]
Kepler-1098b,,0.116,2.54307286,,,transit,2860,0.99,5794,[56]
Kepler-1099b,,0.252,2.16845259,,,transit,3940,1.01,5837,[56]
Kepler-1100b,,0.156,6.42200058,,,transit,3100,1.21,6247,[56]
Kepler-1101b,,0.22,81.3151059,,,transit,2930,0.94,5614,[56]
Kepler-1102b,,0.237,51.3285623,,,transit,3220,0.96,5724,[56]
Kepler-1103b,,0.203,19.79191978,,,transit,3000,1.11,6092,[56]
Kepler-1104b,,0.11,5.03728015,,,transit,1680,1.3,6417,[56]
Kepler-1105b,,0.179,4.42157218,,,transit,1200,0.71,4299,[56]
Kepler-1106b,,0.147,1.25275217,,,transit,3810,1.11,6104,[56]
Kepler-1107b,,0.12,0.57103852,,,transit,1490,0.86,5268,[56]
Kepler-1108b,,0.13,4.51005748,,,transit,2490,0.88,5406,[56]
Kepler-1109b,,0.195,37.6467384,,,transit,2600,1.05,5893,[56]
Kepler-1110b,,0.237,9.69312032,,,transit,2370,0.73,4781,[56]
Kepler-1111b,,0.178,8.79617863,,,transit,3720,1.1,6077,[56]
Kepler-1112b,,0.269,14.36267939,,,transit,5660,1.34,6496,[56]
Kepler-1113b,,0.251,42.3004954,,,transit,3680,1.12,5931,[56]
Kepler-1114b,,0.12,14.97435694,,,transit,1390,0.87,5374,[56]
Kepler-1115b,,0.152,23.5540725,,,transit,3050,1.6,8480,[56]
Kepler-1116b,,0.227,41.6977827,,,transit,3320,0.95,5641,[56]
Kepler-1117b,,0.099,4.79028459,,,transit,2020,0.95,5612,[56]
Kepler-1118b,,0.244,38.6715075,,,transit,2670,0.96,5688,[56]
Kepler-1119b,,0.171,8.3265153,,,transit,4200,1.11,6083,[56]
Kepler-1120b,,0.123,2.94902905,,,transit,2070,0.78,4904,[56]
Kepler-1121b,,0.17,13.15141081,,,transit,1730,1.29,6231,[56]
Kepler-1122b,,0.182,42.1917357,,,transit,3010,0.92,5544,[56]
Kepler-1123b,,0.149,4.33946454,,,transit,2600,0.93,5500,[56]
Kepler-1124b,,0.114,2.85234897,,,transit,580,0.35,3658,[56]
Kepler-1125b,,0.164,17.6700642,,,transit,3000,0.95,5683,[56]
Kepler-1126b,,0.154,108.593329,,,transit,2180,0.92,5798,[56]
Kepler-1127b,,0.175,5.12330347,,,transit,3250,0.97,5664,[56]
Kepler-1128b,,0.326,61.6178167,,,transit,3790,0.94,5543,[56]
Kepler-1129b,,0.264,24.3397804,,,transit,4100,1,5831,[56]
Kepler-1129c,,0.244,76.5369586,,,transit,4100,1,5831,[56]
Kepler-1130b,,0.071,5.45298175,,,transit,760,0.9,5403,[56]
Kepler-1131b,,0.142,3.53232449,,,transit,3620,1.03,5851,[56]
Kepler-1132b,,0.21,62.8916228,,,transit,3100,0.87,5298,[56]
Kepler-1133b,,0.176,11.55562343,,,transit,2680,0.93,5569,[56]
Kepler-1134b,,0.236,17.13263989,,,transit,3250,0.84,5281,[56]
Kepler-1135b,,0.165,76.957857,,,transit,2370,0.96,5656,[56]
Kepler-1136b,,0.146,2.36172433,,,transit,1780,0.72,4512,[56]
Kepler-1137b,,0.196,23.9210791,,,transit,3170,1.5,6807,[56]
Kepler-1138b,,0.152,3.17060005,,,transit,3590,0.95,5582,[56]
Kepler-1139b,,0.106,0.81316672,,,transit,1810,0.94,5550,[56]
Kepler-1140b,,0.247,24.0862707,,,transit,2140,0.76,4850,[56]
Kepler-1141b,,0.073,2.34451194,,,transit,1190,1.01,5791,[56]
Kepler-1142b,,0.131,18.3027248,,,transit,2270,0.97,5685,[56]
Kepler-1143b,,0.149,2.88890485,,,transit,2060,0.81,5053,[56]
Kepler-1143c,,0.321,210.630591,,,transit,2060,0.81,5053,[56]
Kepler-1144b,,0.178,17.14647302,,,transit,3300,0.98,5753,[56]
Kepler-1145b,,0.125,3.97076766,,,transit,2330,0.79,5064,[56]
Kepler-1146b,,0.11,2.3522658,,,transit,2260,0.74,4692,[56]
Kepler-1147b,,0.233,10.62784997,,,transit,4810,1.09,5941,[56]
Kepler-1148b,,0.151,1.10446351,,,transit,2220,0.81,5054,[56]
Kepler-1149b,,0.128,3.73089898,,,transit,3340,1.02,5833,[56]
Kepler-1150b,,0.091,2.78786839,,,transit,1220,0.76,4754,[56]
Kepler-1151b,,0.198,65.6478424,,,transit,2490,0.88,5470,[56]
Kepler-1152b,,0.078,1.64680191,,,transit,600,0.55,3964,[56]
Kepler-1153b,,0.154,1.75583533,,,transit,3860,0.91,5470,[56]
Kepler-1154b,,0.209,5.1856142,,,transit,4990,1.26,6327,[56]
Kepler-1154c,,0.211,8.45808312,,,transit,4990,1.26,6327,[56]
Kepler-1155b,,0.181,33.469743,,,transit,3220,1.03,5842,[56]
Kepler-1156b,,0.118,11.89520511,,,transit,2480,1,5778,[56]
Kepler-1157b,,0.097,4.45743164,,,transit,1130,0.76,4679,[56]
Kepler-1158b,,0.209,13.5396293,,,transit,4100,1.41,6203,[56]
Kepler-1159b,,0.211,22.70816791,,,transit,4040,1.19,6217,[56]
Kepler-1160b,,0.191,7.97034958,,,transit,4220,0.92,5519,[56]
Kepler-1161b,,0.19,10.71252541,,,transit,1400,0.59,4253,[56]
Kepler-1162b,,0.197,32.5637069,,,transit,3230,0.89,5390,[56]
Kepler-1163b,,0.092,6.11786898,,,transit,1590,1.22,6302,[56]
Kepler-1164b,,0.1,3.97599768,,,transit,1460,0.85,5183,[56]
Kepler-1165b,,0.138,9.478522,,,transit,3530,1.13,6080,[56]
Kepler-1166b,,0.151,33.2406882,,,transit,2110,0.9,5446,[56]
Kepler-1167b,,0.153,1.00393374,,,transit,2650,0.79,4971,[56]
Kepler-1168b,,0.223,55.8226539,,,transit,2970,0.87,5157,[56]
Kepler-1169b,,0.084,6.11009134,,,transit,1750,1.24,6191,[56]
Kepler-1170b,,0.215,9.98969327,,,transit,2970,0.8,5069,[56]
Kepler-1171b,,0.228,1.44259224,,,transit,2010,1.58,7044,[56]
Kepler-1172b,,0.285,26.0204423,,,transit,4210,0.92,5558,[56]
Kepler-1173b,,0.079,0.7698536,,,transit,1310,0.86,5252,[56]
Kepler-1174b,,0.142,6.89225223,,,transit,2700,1.04,5936,[56]
Kepler-1175b,,0.267,37.94563,,,transit,4060,0.9,5453,[56]
Kepler-1176b,,0.219,24.1738579,,,transit,3340,1.01,5844,[56]
Kepler-1177b,,0.17,106.247547,,,transit,2700,0.98,5712,[56]
Kepler-1178b,,0.095,31.80634,,,transit,1100,0.8,4990,[56]
Kepler-1179b,,0.118,2.68505749,,,transit,1480,0.84,5212,[56]
Kepler-1180b,,0.178,16.8601286,,,transit,4190,1.09,6077,[56]
Kepler-1181b,,0.14,4.89337519,,,transit,2830,1.17,6176,[56]
Kepler-1182b,,0.215,11.17394617,,,transit,4100,1.04,5924,[56]
Kepler-1183b,,0.252,28.5057189,,,transit,4490,1,5765,[56]
Kepler-1184b,,0.239,53.5991044,,,transit,3890,1.05,5983,[56]
Kepler-1185b,,0.119,104.3518976,,,transit,970,0.96,5622,[56]
Kepler-1186b,,0.199,16.07677615,,,transit,3630,0.95,5635,[56]
Kepler-1187b,,0.233,18.87064068,,,transit,3360,1.06,5975,[56]
Kepler-1188b,,0.186,17.1369543,,,transit,3920,1.04,5913,[56]
Kepler-1189b,,0.158,3.78858982,,,transit,2880,1.11,6012,[56]
Kepler-1190b,,0.119,10.45843441,,,transit,1250,0.76,4730,[56]
Kepler-1191b,,0.135,5.60014851,,,transit,2860,0.85,5308,[56]
Kepler-1192b,,0.211,25.2034787,,,transit,3610,0.86,5438,[56]
Kepler-1193b,,0.118,2.83265213,,,transit,2270,1.08,5908,[56]
Kepler-1194b,,0.135,16.22371307,,,transit,2010,0.94,5590,[56]
Kepler-1195b,,0.186,8.49642241,,,transit,2650,0.74,4965,[56]
Kepler-1196b,,0.199,66.1849031,,,transit,3090,0.98,5756,[56]
Kepler-1197b,,0.112,2.03231845,,,transit,1650,0.78,4708,[56]
Kepler-1198b,,0.131,7.6847716,,,transit,2530,0.93,5517,[56]
Kepler-1199b,,0.103,15.0447198,,,transit,1800,0.94,5889,[56]
Kepler-1200b,,0.095,1.11854972,,,transit,1890,0.74,4612,[56]
Kepler-1201b,,0.204,15.18725932,,,transit,3920,1.15,6177,[56]
Kepler-1202b,,0.262,28.6851324,,,transit,4540,1.03,5834,[56]
Kepler-1203b,,0.095,0.58800076,,,transit,880,0.64,4105,[56]
Kepler-1204b,,0.272,85.7350285,,,transit,4180,1.03,5825,[56]
Kepler-1205b,,0.126,1.07839035,,,transit,2500,0.84,5226,[56]
Kepler-1206b,,0.146,1.21699766,,,transit,2630,0.8,4877,[56]
Kepler-1207b,,0.145,13.68237119,,,transit,3090,1.06,5909,[56]
Kepler-1208b,,0.207,11.08507637,,,transit,2860,0.8,5001,[56]
Kepler-1209b,,0.135,25.369116,,,transit,1820,1.23,6210,[56]
Kepler-1210b,,0.152,8.07124073,,,transit,3770,0.94,5568,[56]
Kepler-1211b,,0.227,11.01816836,,,transit,4850,0.96,5705,[56]
Kepler-1212b,,0.191,12.94130146,,,transit,4250,1.1,6051,[56]
Kepler-1213b,,0.106,5.34982412,,,transit,2230,1.14,6050,[56]
Kepler-1214b,,0.211,18.82634264,,,transit,2470,0.85,5130,[56]
Kepler-1215b,,0.109,4.76703963,,,transit,2290,0.95,5616,[56]
Kepler-1216b,,0.124,4.37034536,,,transit,3670,0.99,5743,[56]
Kepler-1217b,,0.178,2.03232507,,,transit,4450,1.06,5905,[56]
Kepler-1218b,,0.128,22.9221266,,,transit,2180,1.06,5986,[56]
Kepler-1219b,,0.189,16.10467749,,,transit,2030,1.25,5944,[56]
Kepler-1220b,,0.136,7.42693741,,,transit,3120,1,5842,[56]
Kepler-1221b,,0.168,12.00096042,,,transit,2960,0.87,5194,[56]
Kepler-1222b,,0.07,1.91694425,,,transit,1480,0.84,5239,[56]
Kepler-1223b,,0.109,16.301259,,,transit,1480,0.8,4870,[56]
Kepler-1224b,,0.119,13.32351601,,,transit,1890,1.18,6155,[56]
Kepler-1225b,,0.162,7.01075434,,,transit,4050,1.13,6140,[56]
Kepler-1226b,,0.129,17.2923453,,,transit,2540,1.02,5923,[56]
Kepler-1227b,,0.204,94.2887577,,,transit,2180,0.97,5747,[56]
Kepler-1228b,,0.137,0.57736958,,,transit,1780,0.78,5063,[56]
Kepler-1229b,,0.125,86.828989,,,transit,770,0.54,3784,[56]Potentially habitable exoplanet[58]
Kepler-1230b,,0.242,9.95661537,,,transit,4670,1.06,5961,[56]
Kepler-1231b,,0.127,10.41725184,,,transit,3090,1.01,5778,[56]
Kepler-1232b,,0.172,26.7839183,,,transit,2400,0.92,5471,[56]
Kepler-1233b,,0.232,45.1263042,,,transit,4180,1.16,6198,[56]
Kepler-1234b,,0.251,11.94014029,,,transit,2820,0.8,4967,[56]
Kepler-1235b,,0.07,4.16055856,,,transit,1740,0.93,5541,[56]
Kepler-1236b,,0.191,31.0571618,,,transit,3520,0.86,5337,[56]
Kepler-1237b,,0.255,84.5733226,,,transit,3660,0.94,5472,[56]
Kepler-1238b,,0.172,4.14787559,,,transit,5000,1.3,6386,[56]
Kepler-1239b,,0.259,5.19104016,,,transit,8190,1.4,6564,[56]
Kepler-1240b,,0.103,4.8663815,,,transit,2000,0.98,5682,[56]
Kepler-1241b,,0.235,18.5525701,,,transit,3050,0.84,5261,[56]
Kepler-1242b,,0.202,13.62798432,,,transit,2220,0.77,4895,[56]
Kepler-1243b,,0.156,16.8320729,,,transit,2860,0.96,5667,[56]
Kepler-1244b,,0.12,3.70428172,,,transit,2490,1.46,6680,[56]
